Primary_Level_Key,Employment_Level_1_Title,Employment_Level_2_Title,Secondary_Level_Key,Employment_Title,Employment_Code,Employment_Type,Employment_Code_0,Employment_Code_1
17-0000,Architecture and engineering occupations,"Drafters, engineering technicians, and mapping technicians",17-3000,Architectural and civil drafters,17-3011,Line item,17,3011
17-0000,Architecture and engineering occupations,"Drafters, engineering technicians, and mapping technicians",17-3000,Electrical and electronics drafters,17-3012,Line item,17,3012
17-0000,Architecture and engineering occupations,"Drafters, engineering technicians, and mapping technicians",17-3000,Mechanical drafters,17-3013,Line item,17,3013
17-0000,Architecture and engineering occupations,"Drafters, engineering technicians, and mapping technicians",17-3000,"Drafters, all other",17-3019,Line item,17,3019
17-0000,Architecture and engineering occupations,"Drafters, engineering technicians, and mapping technicians",17-3000,"Engineering technologists and technicians, except drafters",17-3020,Summary,17,3020
17-0000,Architecture and engineering occupations,"Drafters, engineering technicians, and mapping technicians",17-3000,Aerospace engineering and operations technologists and technicians,17-3021,Line item,17,3021
17-0000,Architecture and engineering occupations,"Drafters, engineering technicians, and mapping technicians",17-3000,Civil engineering technologists and technicians,17-3022,Line item,17,3022
17-0000,Architecture and engineering occupations,"Drafters, engineering technicians, and mapping technicians",17-3000,Electrical and electronic engineering technologists and technicians,17-3023,Line item,17,3023
17-0000,Architecture and engineering occupations,"Drafters, engineering technicians, and mapping technicians",17-3000,Electro-mechanical and mechatronics technologists and technicians,17-3024,Line item,17,3024
17-0000,Architecture and engineering occupations,"Drafters, engineering technicians, and mapping technicians",17-3000,Environmental engineering technologists and technicians,17-3025,Line item,17,3025
17-0000,Architecture and engineering occupations,"Drafters, engineering technicians, and mapping technicians",17-3000,Industrial engineering technologists and technicians,17-3026,Line item,17,3026
17-0000,Architecture and engineering occupations,"Drafters, engineering technicians, and mapping technicians",17-3000,Mechanical engineering technologists and technicians,17-3027,Line item,17,3027
17-0000,Architecture and engineering occupations,"Drafters, engineering technicians, and mapping technicians",17-3000,Surveying and mapping technicians,17-3031,Line item,17,3031
17-0000,Architecture and engineering occupations,"Drafters, engineering technicians, and mapping technicians",17-3000,"Calibration technologists and technicians and engineering technologists and technicians, except drafters, all other",17-3098,Line item,17,3098
17-0000,Architecture and engineering occupations,"Architects, surveyors, and cartographers",17-1000,"Architects, except naval",17-1010,Summary,17,1010
17-0000,Architecture and engineering occupations,"Architects, surveyors, and cartographers",17-1000,"Architects, except landscape and naval",17-1011,Line item,17,1011
17-0000,Architecture and engineering occupations,"Architects, surveyors, and cartographers",17-1000,Landscape architects,17-1012,Line item,17,1012
17-0000,Architecture and engineering occupations,"Architects, surveyors, and cartographers",17-1000,"Surveyors, cartographers, and photogrammetrists",17-1020,Summary,17,1020
17-0000,Architecture and engineering occupations,"Architects, surveyors, and cartographers",17-1000,Cartographers and photogrammetrists,17-1021,Line item,17,1021
17-0000,Architecture and engineering occupations,"Architects, surveyors, and cartographers",17-1000,Surveyors,17-1022,Line item,17,1022
17-0000,Architecture and engineering occupations,Engineers,17-2000,Aerospace engineers,17-2011,Line item,17,2011
17-0000,Architecture and engineering occupations,Engineers,17-2000,Agricultural engineers,17-2021,Line item,17,2021
17-0000,Architecture and engineering occupations,Engineers,17-2000,Bioengineers and biomedical engineers,17-2031,Line item,17,2031
17-0000,Architecture and engineering occupations,Engineers,17-2000,Chemical engineers,17-2041,Line item,17,2041
17-0000,Architecture and engineering occupations,Engineers,17-2000,Civil engineers,17-2051,Line item,17,2051
17-0000,Architecture and engineering occupations,Engineers,17-2000,Computer hardware engineers,17-2061,Line item,17,2061
17-0000,Architecture and engineering occupations,Engineers,17-2000,Electrical and electronics engineers,17-2070,Summary,17,2070
17-0000,Architecture and engineering occupations,Engineers,17-2000,Electrical engineers,17-2071,Line item,17,2071
17-0000,Architecture and engineering occupations,Engineers,17-2000,"Electronics engineers, except computer",17-2072,Line item,17,2072
17-0000,Architecture and engineering occupations,Engineers,17-2000,Environmental engineers,17-2081,Line item,17,2081
17-0000,Architecture and engineering occupations,Engineers,17-2000,"Industrial engineers, including health and safety",17-2110,Summary,17,2110
17-0000,Architecture and engineering occupations,Engineers,17-2000,"Health and safety engineers, except mining safety engineers and inspectors",17-2111,Line item,17,2111
17-0000,Architecture and engineering occupations,Engineers,17-2000,Industrial engineers,17-2112,Line item,17,2112
17-0000,Architecture and engineering occupations,Engineers,17-2000,Marine engineers and naval architects,17-2121,Line item,17,2121
17-0000,Architecture and engineering occupations,Engineers,17-2000,Materials engineers,17-2131,Line item,17,2131
17-0000,Architecture and engineering occupations,Engineers,17-2000,Mechanical engineers,17-2141,Line item,17,2141
17-0000,Architecture and engineering occupations,Engineers,17-2000,"Mining and geological engineers, including mining safety engineers",17-2151,Line item,17,2151
17-0000,Architecture and engineering occupations,Engineers,17-2000,Nuclear engineers,17-2161,Line item,17,2161
17-0000,Architecture and engineering occupations,Engineers,17-2000,Petroleum engineers,17-2171,Line item,17,2171
17-0000,Architecture and engineering occupations,Engineers,17-2000,"Engineers, all other",17-2199,Line item,17,2199
31-0000,Healthcare support occupations,Occupational therapy and physical therapist assistants and aides,31-2000,Occupational therapy assistants and aides,31-2010,Summary,31,2010
31-0000,Healthcare support occupations,Occupational therapy and physical therapist assistants and aides,31-2000,Occupational therapy assistants,31-2011,Line item,31,2011
31-0000,Healthcare support occupations,Occupational therapy and physical therapist assistants and aides,31-2000,Occupational therapy aides,31-2012,Line item,31,2012
31-0000,Healthcare support occupations,Occupational therapy and physical therapist assistants and aides,31-2000,Physical therapist assistants and aides,31-2020,Summary,31,2020
31-0000,Healthcare support occupations,Occupational therapy and physical therapist assistants and aides,31-2000,Physical therapist assistants,31-2021,Line item,31,2021
31-0000,Healthcare support occupations,Occupational therapy and physical therapist assistants and aides,31-2000,Physical therapist aides,31-2022,Line item,31,2022
31-0000,Healthcare support occupations,Other healthcare support occupations,31-9000,Massage therapists,31-9011,Line item,31,9011
31-0000,Healthcare support occupations,Other healthcare support occupations,31-9000,Miscellaneous healthcare support occupations,31-9090,Summary,31,9090
31-0000,Healthcare support occupations,Other healthcare support occupations,31-9000,Dental assistants,31-9091,Line item,31,9091
31-0000,Healthcare support occupations,Other healthcare support occupations,31-9000,Medical assistants,31-9092,Line item,31,9092
31-0000,Healthcare support occupations,Other healthcare support occupations,31-9000,Medical equipment preparers,31-9093,Line item,31,9093
31-0000,Healthcare support occupations,Other healthcare support occupations,31-9000,Medical transcriptionists,31-9094,Line item,31,9094
31-0000,Healthcare support occupations,Other healthcare support occupations,31-9000,Pharmacy aides,31-9095,Line item,31,9095
31-0000,Healthcare support occupations,Other healthcare support occupations,31-9000,Veterinary assistants and laboratory animal caretakers,31-9096,Line item,31,9096
31-0000,Healthcare support occupations,Other healthcare support occupations,31-9000,Phlebotomists,31-9097,Line item,31,9097
31-0000,Healthcare support occupations,Other healthcare support occupations,31-9000,"Healthcare support workers, all other",31-9099,Line item,31,9099
27-0000,"Arts, design, entertainment, sports, and media occupations",Media and communication equipment workers,27-4000,Audio and video technicians,27-4011,Line item,27,4011
27-0000,"Arts, design, entertainment, sports, and media occupations",Media and communication equipment workers,27-4000,Broadcast technicians,27-4012,Line item,27,4012
27-0000,"Arts, design, entertainment, sports, and media occupations",Media and communication equipment workers,27-4000,Sound engineering technicians,27-4014,Line item,27,4014
27-0000,"Arts, design, entertainment, sports, and media occupations",Media and communication equipment workers,27-4000,Photographers,27-4021,Line item,27,4021
27-0000,"Arts, design, entertainment, sports, and media occupations",Media and communication equipment workers,27-4000,"Television, video, and film camera operators and editors",27-4030,Summary,27,4030
27-0000,"Arts, design, entertainment, sports, and media occupations",Media and communication equipment workers,27-4000,"Camera operators, television, video, and film",27-4031,Line item,27,4031
27-0000,"Arts, design, entertainment, sports, and media occupations",Media and communication equipment workers,27-4000,Film and video editors,27-4032,Line item,27,4032
27-0000,"Arts, design, entertainment, sports, and media occupations",Media and communication equipment workers,27-4000,"Lighting technicians and media and communication equipment workers, all other",27-4098,Line item,27,4098
27-0000,"Arts, design, entertainment, sports, and media occupations","Entertainers and performers, sports and related workers",27-2000,"Actors, producers, and directors",27-2010,Summary,27,2010
27-0000,"Arts, design, entertainment, sports, and media occupations","Entertainers and performers, sports and related workers",27-2000,Actors,27-2011,Line item,27,2011
27-0000,"Arts, design, entertainment, sports, and media occupations","Entertainers and performers, sports and related workers",27-2000,Producers and directors,27-2012,Line item,27,2012
27-0000,"Arts, design, entertainment, sports, and media occupations","Entertainers and performers, sports and related workers",27-2000,"Athletes, coaches, umpires, and related workers",27-2020,Summary,27,2020
27-0000,"Arts, design, entertainment, sports, and media occupations","Entertainers and performers, sports and related workers",27-2000,Athletes and sports competitors,27-2021,Line item,27,2021
27-0000,"Arts, design, entertainment, sports, and media occupations","Entertainers and performers, sports and related workers",27-2000,Coaches and scouts,27-2022,Line item,27,2022
27-0000,"Arts, design, entertainment, sports, and media occupations","Entertainers and performers, sports and related workers",27-2000,"Umpires, referees, and other sports officials",27-2023,Line item,27,2023
27-0000,"Arts, design, entertainment, sports, and media occupations","Entertainers and performers, sports and related workers",27-2000,Dancers and choreographers,27-2030,Summary,27,2030
27-0000,"Arts, design, entertainment, sports, and media occupations","Entertainers and performers, sports and related workers",27-2000,Dancers,27-2031,Line item,27,2031
27-0000,"Arts, design, entertainment, sports, and media occupations","Entertainers and performers, sports and related workers",27-2000,Choreographers,27-2032,Line item,27,2032
27-0000,"Arts, design, entertainment, sports, and media occupations","Entertainers and performers, sports and related workers",27-2000,"Musicians, singers, and related workers",27-2040,Summary,27,2040
27-0000,"Arts, design, entertainment, sports, and media occupations","Entertainers and performers, sports and related workers",27-2000,Music directors and composers,27-2041,Line item,27,2041
27-0000,"Arts, design, entertainment, sports, and media occupations","Entertainers and performers, sports and related workers",27-2000,Musicians and singers,27-2042,Line item,27,2042
27-0000,"Arts, design, entertainment, sports, and media occupations","Entertainers and performers, sports and related workers",27-2000,"Miscellaneous entertainers and performers, sports and related workers",27-2090,Line item,27,2090
27-0000,"Arts, design, entertainment, sports, and media occupations",Media and communication workers,27-3000,Broadcast announcers and radio disc jockeys,27-3011,Line item,27,3011
27-0000,"Arts, design, entertainment, sports, and media occupations",Media and communication workers,27-3000,"News analysts, reporters, and journalists",27-3023,Line item,27,3023
27-0000,"Arts, design, entertainment, sports, and media occupations",Media and communication workers,27-3000,Public relations specialists,27-3031,Line item,27,3031
27-0000,"Arts, design, entertainment, sports, and media occupations",Media and communication workers,27-3000,Writers and editors,27-3040,Summary,27,3040
27-0000,"Arts, design, entertainment, sports, and media occupations",Media and communication workers,27-3000,Editors,27-3041,Line item,27,3041
27-0000,"Arts, design, entertainment, sports, and media occupations",Media and communication workers,27-3000,Technical writers,27-3042,Line item,27,3042
27-0000,"Arts, design, entertainment, sports, and media occupations",Media and communication workers,27-3000,Writers and authors,27-3043,Line item,27,3043
27-0000,"Arts, design, entertainment, sports, and media occupations",Media and communication workers,27-3000,Miscellaneous media and communication workers,27-3090,Summary,27,3090
27-0000,"Arts, design, entertainment, sports, and media occupations",Media and communication workers,27-3000,Interpreters and translators,27-3091,Line item,27,3091
27-0000,"Arts, design, entertainment, sports, and media occupations",Media and communication workers,27-3000,Court reporters and simultaneous captioners,27-3092,Line item,27,3092
27-0000,"Arts, design, entertainment, sports, and media occupations",Media and communication workers,27-3000,"Media and communication workers, all other",27-3099,Line item,27,3099
27-0000,"Arts, design, entertainment, sports, and media occupations",Art and design workers,27-1000,Artists and related workers,27-1010,Summary,27,1010
27-0000,"Arts, design, entertainment, sports, and media occupations",Art and design workers,27-1000,Art directors,27-1011,Line item,27,1011
27-0000,"Arts, design, entertainment, sports, and media occupations",Art and design workers,27-1000,Craft artists,27-1012,Line item,27,1012
27-0000,"Arts, design, entertainment, sports, and media occupations",Art and design workers,27-1000,"Fine artists, including painters, sculptors, and illustrators",27-1013,Line item,27,1013
27-0000,"Arts, design, entertainment, sports, and media occupations",Art and design workers,27-1000,Special effects artists and animators,27-1014,Line item,27,1014
27-0000,"Arts, design, entertainment, sports, and media occupations",Art and design workers,27-1000,"Artists and related workers, all other",27-1019,Line item,27,1019
27-0000,"Arts, design, entertainment, sports, and media occupations",Art and design workers,27-1000,Designers,27-1020,Summary,27,1020
27-0000,"Arts, design, entertainment, sports, and media occupations",Art and design workers,27-1000,Commercial and industrial designers,27-1021,Line item,27,1021
27-0000,"Arts, design, entertainment, sports, and media occupations",Art and design workers,27-1000,Fashion designers,27-1022,Line item,27,1022
27-0000,"Arts, design, entertainment, sports, and media occupations",Art and design workers,27-1000,Floral designers,27-1023,Line item,27,1023
27-0000,"Arts, design, entertainment, sports, and media occupations",Art and design workers,27-1000,Graphic designers,27-1024,Line item,27,1024
27-0000,"Arts, design, entertainment, sports, and media occupations",Art and design workers,27-1000,Interior designers,27-1025,Line item,27,1025
27-0000,"Arts, design, entertainment, sports, and media occupations",Art and design workers,27-1000,Merchandise displayers and window trimmers,27-1026,Line item,27,1026
27-0000,"Arts, design, entertainment, sports, and media occupations",Art and design workers,27-1000,Set and exhibit designers,27-1027,Line item,27,1027
27-0000,"Arts, design, entertainment, sports, and media occupations",Art and design workers,27-1000,"Designers, all other",27-1029,Line item,27,1029
11-0000,Management occupations,"Advertising, marketing, promotions, public relations, and sales managers",11-2000,Advertising and promotions managers,11-2011,Line item,11,2011
11-0000,Management occupations,"Advertising, marketing, promotions, public relations, and sales managers",11-2000,Marketing and sales managers,11-2020,Summary,11,2020
11-0000,Management occupations,"Advertising, marketing, promotions, public relations, and sales managers",11-2000,Marketing managers,11-2021,Line item,11,2021
11-0000,Management occupations,"Advertising, marketing, promotions, public relations, and sales managers",11-2000,Sales managers,11-2022,Line item,11,2022
11-0000,Management occupations,"Advertising, marketing, promotions, public relations, and sales managers",11-2000,Public relations and fundraising managers,11-2030,Line item,11,2030
11-0000,Management occupations,Operations specialties managers,11-3000,Administrative services and facilities managers,11-3010,Line item,11,3010
11-0000,Management occupations,Operations specialties managers,11-3000,Computer and information systems managers,11-3021,Line item,11,3021
11-0000,Management occupations,Operations specialties managers,11-3000,Financial managers,11-3031,Line item,11,3031
11-0000,Management occupations,Operations specialties managers,11-3000,Industrial production managers,11-3051,Line item,11,3051
11-0000,Management occupations,Operations specialties managers,11-3000,Purchasing managers,11-3061,Line item,11,3061
11-0000,Management occupations,Operations specialties managers,11-3000,"Transportation, storage, and distribution managers",11-3071,Line item,11,3071
11-0000,Management occupations,Operations specialties managers,11-3000,Compensation and benefits managers,11-3111,Line item,11,3111
11-0000,Management occupations,Operations specialties managers,11-3000,Human resources managers,11-3121,Line item,11,3121
11-0000,Management occupations,Operations specialties managers,11-3000,Training and development managers,11-3131,Line item,11,3131
11-0000,Management occupations,Top executives,11-1000,Chief executives,11-1011,Line item,11,1011
11-0000,Management occupations,Top executives,11-1000,General and operations managers,11-1021,Line item,11,1021
11-0000,Management occupations,Top executives,11-1000,Legislators,11-1031,Line item,11,1031
11-0000,Management occupations,Other management occupations,11-9000,"Farmers, ranchers, and other agricultural managers",11-9013,Line item,11,9013
11-0000,Management occupations,Other management occupations,11-9000,Construction managers,11-9021,Line item,11,9021
11-0000,Management occupations,Other management occupations,11-9000,Education and childcare administrators,11-9030,Summary,11,9030
11-0000,Management occupations,Other management occupations,11-9000,"Education and childcare administrators, preschool and daycare",11-9031,Line item,11,9031
11-0000,Management occupations,Other management occupations,11-9000,"Education administrators, kindergarten through secondary",11-9032,Line item,11,9032
11-0000,Management occupations,Other management occupations,11-9000,"Education administrators, postsecondary",11-9033,Line item,11,9033
11-0000,Management occupations,Other management occupations,11-9000,"Education administrators, all other",11-9039,Line item,11,9039
11-0000,Management occupations,Other management occupations,11-9000,Architectural and engineering managers,11-9041,Line item,11,9041
11-0000,Management occupations,Other management occupations,11-9000,Food service managers,11-9051,Line item,11,9051
11-0000,Management occupations,Other management occupations,11-9000,Gambling managers,11-9071,Line item,11,9071
11-0000,Management occupations,Other management occupations,11-9000,Lodging managers,11-9081,Line item,11,9081
11-0000,Management occupations,Other management occupations,11-9000,Medical and health services managers,11-9111,Line item,11,9111
11-0000,Management occupations,Other management occupations,11-9000,Natural sciences managers,11-9121,Line item,11,9121
11-0000,Management occupations,Other management occupations,11-9000,Postmasters and mail superintendents,11-9131,Line item,11,9131
11-0000,Management occupations,Other management occupations,11-9000,"Property, real estate, and community association managers",11-9141,Line item,11,9141
11-0000,Management occupations,Other management occupations,11-9000,Social and community service managers,11-9151,Line item,11,9151
11-0000,Management occupations,Other management occupations,11-9000,Emergency management directors,11-9161,Line item,11,9161
11-0000,Management occupations,Other management occupations,11-9000,Funeral home managers,11-9171,Line item,11,9171
11-0000,Management occupations,Other management occupations,11-9000,"Personal service managers, all other; entertainment and recreation managers, except gambling; and managers, all other",11-9198,Line item,11,9198
43-0000,Office and administrative support occupations,"Material recording, scheduling, dispatching, and distributing workers",43-5000,Cargo and freight agents,43-5011,Line item,43,5011
43-0000,Office and administrative support occupations,"Material recording, scheduling, dispatching, and distributing workers",43-5000,Couriers and messengers,43-5021,Line item,43,5021
43-0000,Office and administrative support occupations,"Material recording, scheduling, dispatching, and distributing workers",43-5000,Dispatchers,43-5030,Summary,43,5030
43-0000,Office and administrative support occupations,"Material recording, scheduling, dispatching, and distributing workers",43-5000,Public safety telecommunicators,43-5031,Line item,43,5031
43-0000,Office and administrative support occupations,"Material recording, scheduling, dispatching, and distributing workers",43-5000,"Dispatchers, except police, fire, and ambulance",43-5032,Line item,43,5032
43-0000,Office and administrative support occupations,"Material recording, scheduling, dispatching, and distributing workers",43-5000,"Meter readers, utilities",43-5041,Line item,43,5041
43-0000,Office and administrative support occupations,"Material recording, scheduling, dispatching, and distributing workers",43-5000,Postal service workers,43-5050,Summary,43,5050
43-0000,Office and administrative support occupations,"Material recording, scheduling, dispatching, and distributing workers",43-5000,Postal service clerks,43-5051,Line item,43,5051
43-0000,Office and administrative support occupations,"Material recording, scheduling, dispatching, and distributing workers",43-5000,Postal service mail carriers,43-5052,Line item,43,5052
43-0000,Office and administrative support occupations,"Material recording, scheduling, dispatching, and distributing workers",43-5000,"Postal service mail sorters, processors, and processing machine operators",43-5053,Line item,43,5053
43-0000,Office and administrative support occupations,"Material recording, scheduling, dispatching, and distributing workers",43-5000,"Production, planning, and expediting clerks",43-5061,Line item,43,5061
43-0000,Office and administrative support occupations,"Material recording, scheduling, dispatching, and distributing workers",43-5000,"Shipping, receiving, and inventory clerks",43-5071,Line item,43,5071
43-0000,Office and administrative support occupations,"Material recording, scheduling, dispatching, and distributing workers",43-5000,"Weighers, measurers, checkers, and samplers, recordkeeping",43-5111,Line item,43,5111
43-0000,Office and administrative support occupations,Other office and administrative support workers,43-9000,Data entry and information processing workers,43-9020,Summary,43,9020
43-0000,Office and administrative support occupations,Other office and administrative support workers,43-9000,Data entry keyers,43-9021,Line item,43,9021
43-0000,Office and administrative support occupations,Other office and administrative support workers,43-9000,Word processors and typists,43-9022,Line item,43,9022
43-0000,Office and administrative support occupations,Other office and administrative support workers,43-9000,Desktop publishers,43-9031,Line item,43,9031
43-0000,Office and administrative support occupations,Other office and administrative support workers,43-9000,Insurance claims and policy processing clerks,43-9041,Line item,43,9041
43-0000,Office and administrative support occupations,Other office and administrative support workers,43-9000,"Mail clerks and mail machine operators, except postal service",43-9051,Line item,43,9051
43-0000,Office and administrative support occupations,Other office and administrative support workers,43-9000,"Office clerks, general",43-9061,Line item,43,9061
43-0000,Office and administrative support occupations,Other office and administrative support workers,43-9000,"Office machine operators, except computer",43-9071,Line item,43,9071
43-0000,Office and administrative support occupations,Other office and administrative support workers,43-9000,Proofreaders and copy markers,43-9081,Line item,43,9081
43-0000,Office and administrative support occupations,Other office and administrative support workers,43-9000,Statistical assistants,43-9111,Line item,43,9111
